0 -0
1 12.864
2 21.44
3 4.288
4 21.44
5 17.152
6 4.288
7 21.44
8 0
9 21.44
10 17.152
11 4.288
12 4.288
13 34.304
14 4.288
15 4.288
16 0
17 34.304
18 17.152
19 12.864
20 0
21 12.864
22 4.288
23 12.864
24 0
25 17.152
26 0
27 25.728
28 0
29 12.864
30 0
31 21.44
32 17.152
33 8.576
34 0
35 30.016
36 0
37 17.152
38 21.44
39 0
40 21.44
41 17.152
42 8.576
43 0
44 25.728
45 8.576
46 21.44
47 8.576
48 30.016
49 42.88
50 34.304
51 17.152
52 4.288
53 17.152
54 0
55 30.016
56 21.44
57 8.576
58 25.728
59 0
60 0
61 0
62 8.576
63 0
64 0
65 21.44
66 21.44
67 17.152
68 0
69 30.016
70 17.152
71 12.864
72 21.44
73 12.864
74 30.016
75 34.304
76 12.864
77 34.304
78 17.152
79 25.728
80 0
81 25.728
82 0
83 0
84 0
85 4.288
86 12.864
87 0
88 0
89 8.576
90 25.728
91 25.728
92 0
93 17.152
94 0
95 17.152
96 8.576
97 17.152
98 17.152
99 0
100 0
