0 -0
1 21.44
2 17.152
3 0
4 21.44
5 0
6 0
7 12.864
8 12.864
9 4.288
10 0
11 12.864
12 4.288
13 12.864
14 17.152
15 4.288
16 34.304
17 17.152
18 25.728
19 4.288
20 17.152
21 34.304
22 25.728
23 34.304
24 30.016
25 0
26 25.728
27 8.576
28 0
29 0
30 17.152
31 21.44
32 12.864
33 0
34 21.44
35 4.288
36 0
37 12.864
38 0
39 0
40 0
41 30.016
42 30.016
43 4.288
44 21.44
45 4.288
46 0
47 0
48 17.152
49 8.576
50 0
51 0
52 0
53 25.728
54 21.44
55 0
56 30.016
57 4.288
58 12.864
59 8.576
60 30.016
61 4.288
62 12.864
63 17.152
64 0
65 25.728
66 0
67 30.016
68 4.288
69 25.728
70 0
71 0
72 0
73 17.152
74 4.288
75 0
76 0
77 0
78 8.576
79 4.288
80 0
81 0
82 21.44
83 12.864
84 21.44
85 12.864
86 0
87 21.44
88 4.288
89 8.576
90 0
91 17.152
92 0
93 0
94 12.864
95 17.152
96 8.576
97 17.152
98 21.44
99 8.576
100 0
